"size","Description","color","Barcode","SKU","RRP"
,"GIZEH WHITE  18050","WHITE","10000606","JLV3001",54.95
,"044701 - RAMSES BIRKO FLOR","DK BROWN","10000685","GGA7001",65
,"MADRID BLACK 15000","BLACK","10000712","BBB2001",55
,"044791 - RAMESES BIRKO FLOR","BLACK","10000721","PRR0001",65
,"MADRID RED 13050","RED","10000978","KTM9001",44.95
,"WOMENS CHARLOTTE MATTE SMOOTH SLIDE BLACK/WHITE","BLACK","10001050","JLG9991",40
,"WOMENS CHARLOTTE MATTE SMOOTH SLIDE PINK/WHITE","PINK","10001158","ALB1111",40
,"WOMENS CHARLOTTE MATTE SMOOTH SLIDE ORANGE/WHITE","ORANGE","10001408","MAN1220",40
,"WHT/RED 16075","WHT RED","10001545","ZXC4431",34.99
,"HI BLACK OX CONVERSE PLU 93","BLACK","10001671","ARA1891",57
,"WOMENS GISELLE JAQUARD TRAINER WHITE","WHITE","10001762","JEM7000",80
,"WOMENS CHUCK TAYLOR ALL STAR HI ICY PINK","ICY PINK","10002466","AWD1144",50
,"WOMENS CHUCK TAYLOR ALL STAR OX ICY PINK","ICY PINK","10002809","FHG1111",45
,"YOUTH CHUCK TAYLOR ALL STAR 3V: Basics

Black/Black/Black","BLACK","10003097","RHT1111",32
,"INFANT CHUCK TAYLOR ALL STAR 2V: BASICS Black/Black/Black","BLACK","10003123","ASD1111",28
,"INJECTION MENS BLACK  59037","BLACK","10003169","XES1001",120
,"INJECTION MENS HONEY 59037","HONEY","10003182","NSB1001",120
,"PWC44100-940 - COLORADO 6"" BOOTS 
HONEY MENS","HONEY","10003210","LYD7322",120
,"MN COLORADO BLACK","BLACK","10004465","CAT6680",120
,"6INCH WHEAT JUNIOR","WHEAT","10004750","PUT4885",120
,"6 INCH RUST JUNIOR 30000","RUST HONEY","10004763","BVC9940",110
,"TODDLER WHEAT","WHEAT","10004776","SKA1000",80
,"12709 CLASSIC BOOT YOUTH'S - WHEAT","WHEAT","10004800","JIG7621",90
,"YOUTH RUST 27050","RUST","10004813","COD6321",70
,"BLK STEEL TOE BOOT  PLU 5156","BLACK","10004839","TOM1001",34.99
,"STEEL TOE BOOT 10025","BLACK","10004852","SAM1001",24.99
,"STEEL TOE SHOE 17039","GREY","10004865","ABA1000",37.99
,"STEEL TOE HIKING BOOT GRAFTERS 17039","GREY","10004904","MAS1001",34.99
,"KICK HI W CORE BLK SIZES 36-42","BLACK","10006699","BOL2002",74.99
,"TIMS MENS BOAT SHOES","ROOTBEER","10006924","JHG4001",125
,"KICK HI BLK/FUSHIA PLU 2286","BLK FUSCHA","10007275","TUB2200",68.99
